date,TM_true,TM_pred_naive_seasonal,TM_pred_SARIMA,TM_pred_ETS
2021-10-01,12.781050307219662,11.818305027337841,14.410498472367951,14.158938755767325
2021-11-01,8.034133658008658,9.669258858425525,8.578009727625076,9.204803500276501
2021-12-01,5.4045276497695856,5.088763440860215,6.453880975974182,6.431673036748799
2022-01-01,4.386891321044547,3.9028754053592762,5.440330036483011,5.440857328020032
2022-02-01,7.333231292517008,7.845944586167801,5.930286979588805,6.344508233169511
2022-03-01,8.120209293394776,8.119447320003772,8.69556090918041,8.851564130307642
2022-04-01,11.178795634920634,9.752416726791727,12.206429466057577,12.030083927380515
2022-05-01,17.519174347158216,13.996309310462538,15.306949940256164,15.201962003005077
2022-06-01,22.699962301587302,20.621022927689594,19.756514473444142,20.257386609930776
2022-07-01,25.01014976958525,22.164850230414746,22.912508470761917,23.053586330168393
2022-08-01,23.513200844854072,21.544882445809865,22.2501624491549,22.328862674883133
2022-09-01,18.04573015873016,18.786936507936506,17.99240596100749,18.513682703029023
2022-10-01,16.345160010240654,12.781050307219662,13.475298348462784,14.245741376286588
2022-11-01,9.690172398589066,8.034133658008658,8.979241527668838,9.291606120795766
2022-12-01,6.757484639016897,5.4045276497695856,5.970225989892983,6.518475657268062
2023-01-01,4.790842507253798,4.386891321044547,4.922724156865971,5.527659948539297
2023-02-01,5.743929280045351,7.333231292517008,6.581353651408096,6.431310853688774
2023-03-01,9.550195852534562,8.120209293394776,8.501266700948399,8.938366750826905
2023-04-01,11.585605158730159,11.178795634920634,11.363702889517029,12.116886547899778
2023-05-01,15.316111751152073,17.519174347158216,14.858891020768489,15.28876462352434
2023-06-01,20.304738095238097,22.699962301587302,20.05213994551945,20.34418923045004
2023-07-01,23.99416838815615,25.01014976958525,22.656666941599887,23.140388950687658
2023-08-01,23.034738430368296,23.513200844854072,22.00827805246698,22.4156652954024
2023-09-01,19.720819312871036,18.04573015873016,18.264786788207605,18.600485323548284
2023-10-01,16.185135320278537,16.345160010240654,13.795691220622707,14.332543996805851
2023-11-01,8.795716517199276,9.690172398589066,8.841793087126907,9.378408741315031
2023-12-01,6.71841593426966,6.757484639016897,6.135935293148145,6.605278277787325
